price,name,address,ward,line_station,line,station,bus_time,walk_time,area,balcony,floor_plan,age,renovation,reform
5088万円,ナイスアーバン東駒形,東京都墨田区東駒形４-19-7,墨田区,都営浅草線「本所吾妻橋」徒歩3分,都営浅草線,本所吾妻橋,0,3,55.43m2（壁芯）,9.38m2,3LDK,1996年9月,1,0
5180万円,サンウッド錦糸町フラッツ,東京都墨田区江東橋４,墨田区,ＪＲ総武線快速「錦糸町」徒歩6分,ＪＲ総武線快速,錦糸町,0,6,42.91m2（壁芯）,6m2,1LDK,2021年7月,0,0
5180万円,錦糸町第２ローヤルコーポ,東京都江東区毛利１,江東区,都営新宿線「住吉」徒歩3分,都営新宿線,住吉,0,3,60.83m2（壁芯）,9.22m2,3LDK,1981年11月,1,0
5180万円,アルシオン東大島,東京都江東区東砂３,江東区,都営新宿線「東大島」徒歩14分,都営新宿線,東大島,0,14,88.89m2（26.88坪）（壁芯）,9.32m2,3LDK,2003年2月,0,0
5180万円,錦糸町第２ローヤルコーポ,東京都江東区毛利１-12-10,江東区,都営新宿線「住吉」徒歩3分,都営新宿線,住吉,0,3,60.83m2（18.40坪）,9.22m2,3LDK,1981年11月,0,0
5180万円,ダイナシティ浅草,東京都台東区浅草２,台東区,東京メトロ銀座線「浅草」徒歩4分,東京メトロ銀座線,浅草,0,4,53.62m2（壁芯）,6.3m2,1LDK,2005年1月,0,0
5180万円,シティタワー金町 タワー棟,東京都葛飾区新宿６,葛飾区,ＪＲ常磐線「金町」徒歩12分,ＪＲ常磐線,金町,0,12,68.21m2（壁芯）,16.05m2,3LDK,2016年2月,0,0
5180万円,ダイナシティ浅草,東京都台東区浅草２,台東区,都営浅草線「浅草」徒歩4分,都営浅草線,浅草,0,4,53.62m2（16.21坪）（壁芯）,6.3m2,1LDK,2005年2月,1,0
5180万円,ゼファー四つ木ザナドゥ２１,東京都葛飾区四つ木４,葛飾区,京成押上線「四ツ木」徒歩9分,京成押上線,四ツ木,0,9,85.08m2（壁芯）,12.56m2,3LDK,2002年5月,0,0
5180万円,ライオンズマンション浅草橋,東京都台東区柳橋１,台東区,ＪＲ総武線「浅草橋」徒歩4分,ＪＲ総武線,浅草橋,0,4,55.44m2（壁芯）,6.67m2,2DK,1999年3月,0,0
5190万円,ヴェレーナ浅草,東京都台東区浅草５,台東区,つくばエクスプレス「浅草」徒歩13分,つくばエクスプレス,浅草,0,13,60.84m2（壁芯）,4.05m2,2LDK,2013年10月,0,0
5199万円,東陽町第３ダイヤモンドマンション西館,東京都江東区南砂１,江東区,東京メトロ東西線「東陽町」徒歩15分,東京メトロ東西線,東陽町,0,15,70.35m2（21.28坪）（壁芯）,10m2,3LDK,2007年2月,1,0
